OPC-N2 FirmwareVer=OPC-016b...............................BD
Config info:
GSC,1.000
LaserDAC,150
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.150,0.401,0.893,1.646,3.208,8.529,22.449,47.712,99.541,199.531,381.703,696.909,1150.346,1767.145,2460.611
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.3981013333
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),T(C),P(Pa),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,3.101,25.6,101135,1.373,0.275,0.290,0.290
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.101,25.6,101140,1.380,0.339,0.348,0.348
16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3.100,25.6,101142,1.381,0.486,0.573,0.574
10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.100,25.6,101144,1.380,0.365,0.492,0.494
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,3.070,25.6,101141,1.381,0.298,0.328,0.328
11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.108,25.6,101146,1.380,0.303,0.326,0.326
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.116,25.6,101141,1.380,0.235,0.249,0.249
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.116,25.6,101142,1.373,0.094,0.096,0.096
15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.138,25.6,101138,1.381,0.374,0.399,0.399
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.138,25.6,101137,1.380,0.273,0.339,0.340
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,3.160,25.6,101136,1.381,0.289,0.319,0.319
11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,3.139,25.6,101138,1.380,0.252,0.266,0.266
12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.155,25.6,101142,1.380,0.411,0.452,0.452
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.155,25.6,101135,1.373,0.279,0.287,0.287
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.180,25.7,101142,1.381,0.306,0.336,0.336
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.180,25.7,101139,1.380,0.220,0.226,0.226
13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3.153,25.7,101136,1.381,0.335,0.359,0.359
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.153,25.7,101142,1.380,0.203,0.209,0.209
11,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,3.163,25.7,101135,1.381,0.455,2.013,3.552
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.163,25.7,101139,1.373,0.241,0.248,0.248
13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,25,0,0,3.173,25.7,101136,1.304,0.416,0.651,0.663
8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3.161,25.7,101136,1.380,0.329,0.410,0.411
12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.168,25.7,101138,1.380,0.402,0.485,0.486
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3.156,25.7,101133,1.380,0.261,0.283,0.283
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.156,25.7,101135,1.380,0.074,0.076,0.076
